"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1
406.8	0.110791	328.189	0.111027	292.328	0.110938	287.895	0.112583	288.577	0.114013	289.979	0.114675	297.039	0.112844	299.334	0.114584	326.4	0.113446	337.668	0.114773
421.631	0.111791	338.196	0.111882	304.753	0.112435	305.504	0.114931	295.171	0.115194	297.342	0.116507	293.086	0.113779	298.364	0.114935	320.294	0.114062	323.741	0.11606
429.04	0.112305	353.026	0.113239	305.315	0.1125	321.413	0.116948	305.412	0.116741	299.62	0.11704	291.879	0.11461	296.482	0.116637	308.173	0.115369	317.222	0.116667
449.697	0.113898	362.609	0.114113	306.226	0.112598	323.857	0.117252	310.022	0.11742	310.075	0.11889	291.609	0.114863	299.3	0.118013	305.635	0.115625	311.462	0.117459
458.045	0.114518	367.879	0.114587	327.474	0.114884	326.27	0.117544	312.506	0.117765	313.036	0.119413	292.679	0.115495	301.66	0.118878	304.49	0.115851	303.307	0.11875
460.559	0.114725	387.1	0.116281	336.705	0.115829	338.906	0.11912	324.397	0.119495	314.387	0.119643	294.973	0.116758	307.716	0.120442	299.493	0.117188	303.254	0.119721
476.216	0.116057	392.291	0.116734	341.233	0.116281	351.089	0.120663	330.023	0.120314	327.914	0.121979	298.73	0.11767	309.799	0.120995	299.773	0.117953	303.164	0.120411
484.393	0.116852	393.202	0.116811	346.143	0.116806	354.371	0.121092	331.561	0.120553	338.281	0.1238	302.262	0.118544	311.4	0.121377	300.407	0.11875	310.928	0.123005
499.489	0.118331	394.201	0.116899	359.102	0.118161	360.983	0.12199	347.981	0.12299	342.592	0.12454	304.714	0.119019	318.766	0.123047	303.642	0.120055	311.133	0.123074
508.878	0.119435	410.844	0.118327	370.488	0.119418	371.897	0.123444	353.412	0.123863	345.452	0.125036	313.017	0.120631	326.911	0.124917	304.866	0.120465	316.43	0.12465
524.373	0.121371	430.973	0.120269	374.307	0.119823	380.159	0.124572	358.711	0.124699	360.969	0.127889	319.318	0.121875	327.269	0.125	310.696	0.122129	321.95	0.126339
531.357	0.122341	433.421	0.120507	381.811	0.120663	390.798	0.126086	371.283	0.126786	364.169	0.12851	322.896	0.122589	327.83	0.125139	312.708	0.122638	328.144	0.12818
548.67	0.125202	438.623	0.121079	393.122	0.121921	397.957	0.127127	373.162	0.127097	380.485	0.131903	329.179	0.123832	338.808	0.127801	320.132	0.124576	334.035	0.13005
549.967	0.125478	457.627	0.123122	404.378	0.123285	410.495	0.12915	391.752	0.130429	383.002	0.132445	334.755	0.125	342.832	0.128778	322.534	0.125205	337.76	0.131216
565.124	0.128406	465.104	0.124088	417.178	0.12479	410.578	0.129163	394.055	0.130837	394.593	0.135077	346.172	0.127401	354.81	0.131863	325.499	0.126011	342.155	0.132642
565.976	0.128625	475.216	0.125366	426.161	0.12601	410.657	0.129177	397.243	0.131459	400.527	0.136396	348.047	0.127804	355.954	0.132149	333.569	0.128196	348.001	0.134498
575.515	0.130874	491.871	0.127998	441.496	0.128137	410.862	0.129213	407.318	0.133437	407.544	0.138	349.846	0.128214	358.263	0.132743	335.428	0.128703	354.837	0.136737
575.845	0.130977	493.998	0.128322	453.472	0.130032	436.894	0.133781	412.406	0.134493			358.784	0.130208	368.331	0.135361	343.789	0.13104	357.979	0.137732
584.519	0.133261	499.181	0.129227	462.569	0.131632	446.213	0.135526	424.19	0.136843			364.226	0.131478	372.237	0.13643	348.76	0.132457	358.816	0.138
584.66	0.133328	505.93	0.130375	465.167	0.132096	450.597	0.136333	429.694	0.138			368.636	0.132523	378.086	0.138	353.67	0.133907		
586.5	0.133982	514.134	0.131741	477.542	0.134294	458.986	0.138					376.568	0.134419			359.208	0.135589		
596.859	0.137585	518.387	0.132447	491.923	0.137111							377.163	0.134559			366.579	0.13772		
598.002	0.138	526.963	0.13416	496.521	0.138							385.22	0.136546			367.518	0.138		
		537.223	0.136153									388.668	0.137384						
		543.656	0.137809									391.122	0.138						
		544.338	0.138																
