Column1	Temp noRef	Column1	Temp twoRef	Column1	Temp sixRef		Column1	Mach noRef	Column1	Mach oneRef	Column1	Mach twoRef			Column1	Temp noRef	Column1	Temp oneRef	Column1	Temp twoRef	Column2	Temp threeRef	Column3	temp fourRef	Column4	temp fifthRef	Column6	temp sixthRef
-0.0800951	816.339	-0.108314	277.402	-0.108314	137.999		-0.0800951	0.340462	-0.108314	3.38644	-0.108342	5			-0.0800951	816.339	-0.100947	797.414	-0.113699	138.168	-0.0952144	822.039	-0.0441777	840.137	-0.108314	137.999	-0.105419	138
-0.0762339	817.695	-0.106672	538.595	-0.106672	138.003		-0.0762339	0.328935	-0.106672	1.70883	-0.108314	5			-0.0762339	817.695	-0.0968843	805.834	-0.112604	142.532	-0.0898939	824.605	-0.0418529	840.672	-0.106672	138.003	-0.10503	138.005
-0.0718772	818.974	-0.106672	538.595	-0.106672	138.003		-0.0718772	0.31733	-0.106672	1.70883	-0.106672	5			-0.0718772	818.974	-0.0952144	807.005	-0.111855	152.205	-0.0828378	827.529	-0.0389273	841.191	-0.106672	138.003	-0.105002	138.005
-0.0691686	819.68	-0.104973	666.537	-0.105837	137.901		-0.0691686	0.311433	-0.104973	1.09965	-0.106672	5			-0.0691686	819.68	-0.0898939	809.723	-0.112604	142.532	-0.0884269	825.342	-0.0404733	840.902	-0.105837	137.901	-0.104973	138.007
-0.0670581	820.313	-0.103096	792.409	-0.105837	137.901		-0.0670581	0.305364	-0.103096	0.505281	-0.105837	5			-0.0670581	820.313	-0.0884269	810.503	-0.0762339	823.899	-0.0389273	841.25	-0.0151869	843.887	-0.105837	137.901	-0.104528	137.959
-0.0651788	820.909	-0.103096	792.409	-0.105822	137.946		-0.0651788	0.299668	-0.103096	0.505281	-0.105837	5			-0.0651788	820.909	-0.0828378	812.769	-0.0800951	822.541	-0.0404733	840.963	-0.0163912	843.831	-0.105822	137.946	-0.104209	137.916
-0.0615258	821.999	-0.100947	798.535	-0.105419	139.848		-0.0615258	0.288983	-0.100947	0.464259	-0.105822	5			-0.0615258	821.999	-0.0800951	814.087	-0.0828378	821.52	-0.0418529	840.731	-0.0169975	843.796	-0.105419	139.848	-0.104051	137.864
-0.060984	822.169	-0.0968843	814.827	-0.10503	159.716		-0.060984	0.287282	-0.0968843	0.361255	-0.105419	5.00001			-0.060984	822.169	-0.0762339	815.555	-0.0884269	819.243	-0.0441777	840.19	-0.0182715	843.72	-0.10503	159.716	-0.103831	141.833
-0.0547805	824.031	-0.0952144	815.957	-0.105002	160.739		-0.0547805	0.267356	-0.0952144	0.35229	-0.10503	4.99989			-0.0547805	824.031	-0.0718772	817.268	-0.0898939	818.576	-0.0479599	839.41	-0.0186062	843.699	-0.105002	160.739	-0.103573	145.36
-0.0546459	824.071	-0.0898939	818.576	-0.104973	166.235		-0.0546459	0.266925	-0.0898939	0.328285	-0.105002	4.99989			-0.0546459	824.071	-0.0691686	818.424	-0.0968843	814.827	-0.0483049	839.334	-0.0218804	843.467	-0.104973	166.235	-0.103388	165.188
-0.0514555	825.028	-0.0884269	819.243	-0.104973	166.235		-0.0514555	0.255342	-0.0884269	0.322031	-0.104973	4.99985			-0.0514555	825.028	-0.0670581	819.144	-0.0952144	815.957	-0.0481568	839.364	-0.0205565	843.547	-0.104973	166.235	-0.103096	199.85
-0.0483049	825.934	-0.0828378	821.52	-0.104051	364.3		-0.0483049	0.244709	-0.0828378	0.300066	-0.104528	5.00088			-0.0483049	825.934	-0.0651788	819.74	-0.100947	798.535	-0.0514555	838.458	-0.0235753	843.322	-0.104051	364.3	-1.94E-16	300
-0.0481568	825.973	-0.0800951	822.541	-0.103388	561.694		-0.0481568	0.244172	-0.0800951	0.288352	-0.104209	5.00181			-0.0481568	825.973	-0.0615258	820.863	-0.103096	792.409	-0.0546459	837.685	-0.0254526	843.18	-0.103388	561.694	-0.000225145	656.059
-0.0479599	826.026	-0.0762339	823.899	-0.103096	660.743		-0.0479599	0.243468	-0.0762339	0.273722	-0.104051	5.00295			-0.0479599	826.026	-0.060984	821.012	-0.106672	538.595	-0.0651788	834.397	-0.0304397	842.578	-0.103096	660.743	-0.0004528	780.72
-0.0441777	827.111	-0.0718772	825.313	-0.103096	660.743		-0.0441777	0.228628	-0.0718772	0.256563	-0.103831	4.92611			-0.0441777	827.111	-0.0547805	822.675	-0.103096	792.409	-0.0547805	837.644	-0.0267113	843.038	-0.103096	660.743	-0.000682995	823.708
-0.0418529	827.762	-0.0691686	826.099	-0.101723	717.631		-0.0418529	0.219776	-0.0691686	0.246563	-0.103573	4.85681			-0.0418529	827.762	-0.0546459	822.708	-0.108314	277.402	-0.0670581	833.803	-0.0307874	842.514	-0.101723	717.631	-0.000915763	839.776
-0.0404733	828.111	-0.0670581	826.722	-0.101483	721.114		-0.0404733	0.214333	-0.0670581	0.238634	-0.103388	4.58555			-0.0404733	828.111	-0.0514555	823.431	-0.106672	538.595	-0.0615258	835.64	-0.0287646	842.801	-0.101483	721.114	-0.00115113	847.762
-0.0389273	828.499	-0.0651788	827.237	-0.100947	749.753		-0.0389273	0.208264	-0.0651788	0.232021	-0.103096	4.15137			-0.0389273	828.499	-0.0483049	824.137	-0.108342	274.05	-0.0691686	833.053	-0.0319749	842.336	-0.100947	749.753	-0.00138914	852.216
-0.0367871	829.085	-0.0615258	828.223	-0.100947	749.753		-0.0367871	0.199139	-0.0615258	0.218417	-0.103096	4.15137			-0.0367871	829.085	-0.0481568	824.167	-0.104973	666.537	-0.060984	835.81	-0.0281653	842.894	-0.100947	749.753	-0.00162982	854.625
-0.0354551	829.445	-0.060984	828.36	-0.0999306	825.701		-0.0354551	0.193398	-0.060984	0.216487	-0.102888	3.73494			-0.0354551	829.445	-0.0479599	824.207	-0.10837	271.473	-0.0718772	832.015	-0.034149	841.999	-0.0999306	825.701	-0.0018732	855.727
-0.034149	829.753	-0.0547805	829.874	-0.0990134	825.912		-0.034149	0.187726	-0.0547805	0.194082	-0.10229	2.28998			-0.034149	829.753	-0.0441777	824.915	-0.110012	165.788	-0.0762339	830.313	-0.0354551	841.826	-0.0990134	825.912	-0.00211932	856.011
-0.0319749	830.289	-0.0546459	829.904	-0.0968843	824.934		-0.0319749	0.178002	-0.0546459	0.193604	-0.101723	1.2556			-0.0319749	830.289	-0.0418529	825.319	-0.00313183	838.448	-0.114335	138.031	-0.100947	790.234	-0.0968843	824.934	-0.0023682	855.825
-0.0307874	830.59	-0.0514555	830.61	-0.0968843	824.934		-0.0307874	0.172551	-0.0514555	0.182584	-0.101483	0.832498			-0.0307874	830.59	-0.0404733	825.547	-0.11142	153.152	-0.0800951	828.889	-0.0367871	841.565	-0.0968843	824.934	-0.00261989	855.401
-0.0304397	830.688	-0.0483049	831.271	-0.0952144	826.185		-0.0304397	0.170833	-0.0483049	0.171095	-0.101483	0.832498			-0.0304397	830.688	-0.0389273	825.796	-0.00287442	838.901	-0.117626	137.995	-0.0968843	821.4	-0.0952144	826.185	-0.00287442	854.885
-0.0287646	831.083	-0.0481568	831.302	-0.0898939	827.53		-0.0287646	0.162967	-0.0481568	0.170582	-0.100947	0.704766			-0.0287646	831.083	-0.0367871	826.136	-0.00339215	837.971	-0.113699	138.036	-0.0952144	822.318	-0.0898939	827.53	-0.00313183	854.358
-0.0281653	831.244	-0.0479599	831.34	-0.0884269	828.262		-0.0281653	0.159882	-0.0479599	0.169864	-0.0999306	0.381797			-0.0281653	831.244	-0.0354551	826.37	-0.00365542	837.554	-0.112604	137.887	-0.0898939	824.896	-0.0884269	828.262	-0.00339215	853.851
-0.0267113	831.547	-0.0441777	832.066	-0.0828378	830.064		-0.0267113	0.152931	-0.0441777	0.156842	-0.0999306	0.381797			-0.0267113	831.547	-0.034149	826.57	-0.0023682	839.555	-0.112604	137.887	-0.0884269	825.606	-0.0828378	830.064	-0.00365542	853.373
-0.0254526	831.84	-0.0418529	832.485	-0.0800951	831.35		-0.0254526	0.146356	-0.0418529	0.14838	-0.0990134	0.365448			-0.0254526	831.84	-0.0319749	826.921	-0.00261989	839.284	-0.111855	137.783	-0.0828378	827.661	-0.0800951	831.35	-0.00392167	852.913
-0.0235753	832.184	-0.0404733	832.726	-0.0762339	832.634		-0.0235753	0.137403	-0.0404733	0.143633	-0.0968843	0.359182			-0.0235753	832.184	-0.0307874	827.116	-0.00211932	839.601	-0.11142	137.756	-0.0800951	829.076	-0.0762339	832.634	-0.00419094	852.461
-0.0218804	832.526	-0.0389273	832.984	-0.0718772	834.252		-0.0218804	0.128367	-0.0389273	0.137952	-0.0968843	0.359182			-0.0218804	832.526	-0.0304397	827.18	-0.0018732	839.178	-0.110012	137.6	-0.0762339	830.456	-0.0718772	834.252	-0.00446328	852.03
-0.0205565	832.737	-0.0367871	833.335	-0.0691686	835.341		-0.0205565	0.122094	-0.0367871	0.130484	-0.0952144	0.350657			-0.0205565	832.737	-0.0287646	827.543	-0.00162982	837.739	-0.10837	141.943	-0.0718772	832.173	-0.0691686	835.341	-0.00473872	851.651
-0.0186062	833.093	-0.0354551	833.548	-0.0670581	836.019		-0.0186062	0.111534	-0.0354551	0.12552	-0.0898939	0.336437			-0.0186062	833.093	-0.0281653	827.667	-0.00138914	834.026	-0.108342	142.033	-0.0691686	833.223	-0.0670581	836.019	-0.0050173	851.355
-0.0182715	833.143	-0.034149	833.742	-0.0670581	836.02		-0.0182715	0.10992	-0.034149	0.121086	-0.0884269	0.330407			-0.0182715	833.143	-0.0267113	827.917	-0.0718772	825.313	-0.0367871	841.633	-0.0143822	843.912	-0.0670581	836.02	-0.00627763	850.551
-0.0169975	833.331	-0.0319749	834.061	-0.0651788	836.553		-0.0169975	0.103359	-0.0319749	0.113007	-0.0828378	0.312582			-0.0169975	833.331	-0.0254526	828.094	-0.0691686	826.099	-0.0354551	841.901	-0.0134151	843.946	-0.0651788	836.553	-0.00643129	850.471
-0.0163912	833.412	-0.0307874	834.233	-0.0615258	837.664		-0.0163912	0.100484	-0.0307874	0.10877	-0.0800951	0.299963			-0.0163912	833.412	-0.0235753	828.319	-0.0670581	826.722	-0.034149	842.077	-0.0119231	843.976	-0.0615258	837.664	-0.00684062	850.358
-0.0151869	833.573	-0.0304397	834.284	-0.060984	837.812		-0.0151869	0.0943338	-0.0304397	0.107449	-0.0762339	0.286405			-0.0151869	833.573	-0.0218804	828.53	-0.0651788	827.237	-0.0319749	842.417	-0.011645	843.984	-0.060984	837.812	-0.00810871	850
-0.0143822	833.665	-0.0287646	834.511	-0.0547805	839.451		-0.0143822	0.0905089	-0.0287646	0.10145	-0.0718772	0.2691			-0.0143822	833.665	-0.0205565	828.69	-0.0615258	828.223	-0.0307874	842.601	-0.0109371	843.991	-0.0547805	839.451	-0.00909693	849.814
-0.0134151	833.777	-0.0281653	834.594	-0.0546459	839.487		-0.0134151	0.0857038	-0.0281653	0.0992106	-0.0691686	0.25949			-0.0134151	833.777	-0.0186062	829.082	-0.060984	828.36	-0.0304397	842.667	-0.0098362	844.003	-0.0546459	839.487	-0.0098362	849.667
-0.0119231	833.909	-0.0267113	834.77	-0.0514555	840.164		-0.0119231	0.0789015	-0.0267113	0.0941017	-0.0670581	0.251319			-0.0119231	833.909	-0.0182715	829.15	-0.0547805	829.874	-0.0287646	842.901	-0.00909693	843.994	-0.0514555	840.164	-0.0109371	849.474
-0.011645	833.937	-0.0254526	834.923	-0.0483049	840.972		-0.011645	0.077554	-0.0254526	0.0893487	-0.0670581	0.251319			-0.011645	833.937	-0.0169975	829.444	-0.0546459	829.904	-0.0281653	842.999	-0.00810871	843.985	-0.0483049	840.972	-0.011645	849.352
-0.0109371	833.988	-0.0235753	835.125	-0.0481568	841.003		-0.0109371	0.074535	-0.0235753	0.0827507	-0.0651788	0.245142			-0.0109371	833.988	-0.0163912	829.62	-0.0514555	830.61	-0.0267113	843.145	-0.00684062	843.877	-0.0481568	841.003	-0.0119231	849.312
-0.0098362	834.062	-0.0218804	835.307	-0.0479599	841.049		-0.0098362	0.0701873	-0.0218804	0.0763177	-0.0615258	0.230363			-0.0098362	834.062	-0.0151869	829.911	-0.0483049	831.271	-0.0254526	843.288	-0.00643129	843.844	-0.0479599	841.049	-0.0134151	849.081
-0.00909693	834.1	-0.0205565	835.433	-0.0441777	841.79		-0.00909693	0.0678215	-0.0205565	0.0717232	-0.060984	0.228343			-0.00909693	834.1	-0.0143822	830.117	-0.0481568	831.302	-0.0235753	843.427	-0.00627763	843.811	-0.0441777	841.79	-0.0143822	848.961
-0.00810871	834.167	-0.0186062	835.624	-0.0418529	842.326		-0.00810871	0.0644634	-0.0186062	0.06423	-0.0547805	0.204277			-0.00810871	834.167	-0.0134151	830.386	-0.0479599	831.34	-0.0218804	843.571	-0.0050173	843.469	-0.0418529	842.326	-0.0151869	848.853
-0.00684062	834.279	-0.0182715	835.654	-0.0404733	842.584		-0.00684062	0.0614435	-0.0182715	0.0630512	-0.0546459	0.203743			-0.00684062	834.279	-0.0119231	830.779	-0.0441777	832.066	-0.0205565	843.658	-0.00473872	843.347	-0.0404733	842.584	-0.0163912	848.725
-0.00643129	834.31	-0.0169975	835.761	-0.0389273	842.91		-0.00643129	0.0606023	-0.0169975	0.0584915	-0.0514555	0.1926			-0.00643129	834.31	-0.011645	830.925	-0.0418529	832.485	-0.0186062	843.842	-0.00446328	843.18	-0.0389273	842.91	-0.0169975	848.668
-0.00627763	834.335	-0.0163912	835.811	-0.0367871	843.311		-0.00627763	0.0604362	-0.0163912	0.05644	-0.0483049	0.179081			-0.00627763	834.335	-0.0109371	831.26	-0.0404733	832.726	-0.0182715	843.872	-0.00419094	842.978	-0.0367871	843.311	-0.0182715	848.55
-0.0050173	834.571	-0.0151869	835.906	-0.0354551	843.597		-0.0050173	0.0588211	-0.0151869	0.0521127	-0.0481568	0.178556			-0.0050173	834.571	-0.0098362	831.791	-0.0389273	832.984	-0.0169975	843.958	-0.00392167	842.756	-0.0354551	843.597	-0.0186062	848.527
-0.00473872	834.634	-0.0143822	835.969	-0.034149	843.818		-0.00473872	0.0586293	-0.0143822	0.0493629	-0.0479599	0.177728			-0.00473872	834.634	-0.00909693	832.779	-0.0367871	833.335	-0.0163912	843.997	-0.00365542	842.515	-0.034149	843.818	-0.0205565	848.411
-0.00446328	834.715	-0.0134151	836.035	-0.0319749	844.233		-0.00446328	0.0585531	-0.0134151	0.0459403	-0.0441777	0.164049			-0.00446328	834.715	-0.00810871	834.577	-0.0354551	833.548	-0.0151869	844.054	-0.00339215	842.243	-0.0319749	844.233	-0.0218804	848.288
-0.00419094	834.81	-0.0119231	836.132	-0.0307874	844.445		-0.00419094	0.0585849	-0.0119231	0.0409054	-0.0418529	0.153864			-0.00419094	834.81	-0.00684062	840.554	-0.034149	833.742	-0.0143822	844.073	-0.00313183	841.96	-0.0307874	844.445	-0.102888	267.812
-0.00392167	834.925	-0.011645	836.151	-0.0304397	844.514		-0.00392167	0.0587278	-0.011645	0.03994	-0.0404733	0.14889			-0.00392167	834.925	-0.00643129	842.493	-0.0319749	834.061	-0.0134151	844.104	-0.00287442	841.694	-0.0304397	844.514	-0.103096	199.85
-0.00365542	835.068	-0.0109371	836.192	-0.0287646	844.802		-0.00365542	0.0589765	-0.0109371	0.0376512	-0.0389273	0.142227			-0.00365542	835.068	-0.00627763	843.427	-0.0307874	834.233	-0.0119231	844.119	-0.00261989	841.417	-0.0287646	844.802	-0.10229	482.013
-0.00339215	835.256	-0.0098362	836.254	-0.0281653	844.912		-0.00339215	0.05932	-0.0098362	0.0343683	-0.0367871	0.133932			-0.00339215	835.256	-0.0050173	849.326	-0.0304397	834.284	-0.011645	844.125	-0.0023682	840.992	-0.0281653	844.912	-0.101723	659.956
-0.00313183	835.502	-0.00909693	836.292	-0.0267113	845.137		-0.00313183	0.0597455	-0.00909693	0.0325009	-0.0354551	0.127937			-0.00313183	835.502	-0.00473872	849.526	-0.0287646	834.511	-0.0109371	844.12	-0.00211932	840.163	-0.0267113	845.137	-0.101483	743.754
-0.00287442	835.81	-0.00810871	836.351	-0.0254526	845.344		-0.00287442	0.0602401	-0.00810871	0.0299754	-0.034149	0.123414			-0.00287442	835.81	-0.00446328	849.437	-0.0281653	834.594	-0.0098362	844.113	-0.0018732	838.74	-0.0254526	845.344	-0.0670581	842.477
-0.00261989	836.163	-0.00684062	836.473	-0.0235753	845.616		-0.00261989	0.0607917	-0.00684062	0.0281204	-0.0319749	0.114046			-0.00261989	836.163	-0.00419094	849.153	-0.0267113	834.77	-0.00909693	844.081	-0.00162982	836.714	-0.0235753	845.616	-0.0651788	842.955
-0.0023682	836.501	-0.00643129	836.51	-0.0218804	845.865		-0.0023682	0.0613942	-0.00643129	0.0275868	-0.0307874	0.109294			-0.0023682	836.501	-0.00392167	848.671	-0.0254526	834.923	-0.00810871	844.039	-0.00138914	833.707	-0.0218804	845.865	-0.0615258	843.838
-0.00211932	836.694	-0.00627763	836.544	-0.0205565	846.044		-0.00211932	0.0620465	-0.00627763	0.0276554	-0.0304397	0.107672			-0.00211932	836.694	-0.00365542	848.004	-0.0235753	835.125	-0.00684062	843.853	-0.00115113	828.752	-0.0205565	846.044	-0.060984	843.946
-0.0018732	836.492	-0.0050173	836.863	-0.0186062	846.323		-0.0018732	0.0627497	-0.0050173	0.0283256	-0.0287646	0.101174			-0.0018732	836.492	-0.00339215	847.157	-0.0218804	835.307	-0.00643129	843.795	-0.000915763	819.992	-0.0186062	846.323	-0.0547805	845.109
		-0.00473872	836.925	-0.0182715	846.368		-0.00162982	0.0635096	-0.00473872	0.0286834	-0.0281653	0.0985662			-0.00162982	835.454	-0.00313183	846.087	-0.0205565	835.433	-0.00627763	843.744	-0.000682995	802.379	-0.0182715	846.368	-0.0546459	845.132
		-0.00446328	836.991	-0.0169975	846.528		-0.00138914	0.0643386	-0.00446328	0.0292495	-0.0267113	0.0934089			-0.00138914	832.931	-0.00287442	844.695	-0.0186062	835.624	-0.0050173	843.24	-0.0004528	758.264	-0.0169975	846.528	-0.0514555	845.637
		-0.00419094	837.089	-0.0163912	846.605		-0.00115113	0.0652595	-0.00419094	0.0300723	-0.0254526	0.0880772			-0.00115113	828.327	-0.00261989	842.882	-0.0182715	835.654	-0.00473872	843.069	-0.000225145	638.925	-0.0163912	846.605	-0.0483049	846.088
		-0.00392167	837.261	-0.0151869	846.749		-0.000915763	0.0663016	-0.00392167	0.0311934	-0.0235753	0.0816842			-0.000915763	820.752	-0.0023682	840.547	-0.0169975	835.761	-0.00446328	842.849	-1.94E-16	300	-0.0151869	846.749	-0.0481568	846.113
		-0.00365542	837.554	-0.0143822	846.849		-0.000682995	0.0674485	-0.00365542	0.0325663	-0.0218804	0.0750116			-0.000682995	806.663	-0.00211932	837.553	-0.0163912	835.811	-0.00419094	842.59	-0.112604	138.004	-0.0143822	846.849	-0.0479599	846.139
		-0.00339215	837.971	-0.0134151	846.953		-0.0004528	0.0685427	-0.00339215	0.0340057	-0.0218804	0.0750116			-0.0004528	771.7	-0.0018732	833.702	-0.0151869	835.906	-0.00392167	842.311	-0.113699	137.995	-0.0134151	846.953	-0.0441777	846.618
		-0.00313183	838.448	-0.0119231	847.111		-0.000225145	0.0675435	-0.00313183	0.0352971	-0.0205565	0.0710574			-0.000225145	660.721	-0.00162982	828.688	-0.0143822	835.969	-0.00365542	842.026	-0.114335	137.996	-0.0119231	847.111	-0.0418529	846.871
		-0.00287442	838.901	-0.011645	847.139		-1.94289E-16	0.0660615	-0.00287442	0.0363455	-0.0186062	0.064168			-1.94E-16	300	-0.00138914	821.999	-0.0134151	836.035	-0.00339215	841.74	-0.117626	138.001	-0.011645	847.139	-0.0404733	847.051
		-0.00261989	839.284	-0.0109371	847.207				-0.00261989	0.037193	-0.0182715	0.0632829					-0.00115113	812.718	-0.0119231	836.132	-0.00313183	841.449	-0.111855	138.015	-0.0109371	847.207	-0.0389273	847.194
		-0.0023682	839.555	-0.0098362	847.309				-0.0023682	0.0379702	-0.0169975	0.0600044					-0.000915763	799.027	-0.011645	836.151	-0.00287442	841.164	-0.112604	138.004	-0.0098362	847.309	-0.0367871	847.369
		-0.00211932	839.601	-0.00909693	847.377				-0.00211932	0.0388824	-0.0163912	0.0589272					-0.000682995	776.846	-0.0109371	836.192	-0.00261989	840.896	-0.11142	138.019	-0.00909693	847.377	-0.0354551	847.452
				-0.00810871	847.474				-0.0018732	0.0402087	-0.0151869	0.0564885					-0.0004528	733.388	-0.0098362	836.254	-0.0023682	840.572	-0.110012	138.036	-0.00810871	847.474	-0.034149	847.579
				-0.00684062	847.636				-0.00162982	0.0424386	-0.0143822	0.0557406					-0.000225145	615.71	-0.00909693	836.292	-0.00211932	839.962	-0.10837	137.746	-0.00684062	847.636	-0.0319749	847.704
				-0.00643129	847.685				-0.00138914	0.0462764	-0.0134151	0.0545748					-1.94E-16	300	-0.00810871	836.351	-0.0018732	838.702	-0.108342	137.737	-0.00643129	847.685	-0.0307874	847.768
				-0.00627763	847.713				-0.00115113	0.0516013	-0.0119231	0.0547731							-0.00684062	836.473	-0.00162982	836.582	-0.108314	137.836	-0.00627763	847.713	-0.0304397	847.773
				-0.0050173	847.949				-0.000915763	0.0567989	-0.011645	0.0547129							-0.00643129	836.51	-0.00138914	833.506	-0.106672	141.9	-0.0050173	847.949	-0.0287646	847.832
				-0.00473872	847.995				-0.000682995	0.060488	-0.0109371	0.0556948							-0.00627763	836.544	-0.00115113	828.629	-0.100947	790.234	-0.00473872	847.995	-0.0281653	847.839
