"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1		"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1
1340.69	0.102917	809.58	0.103128	549.5	0.103162	544.42	0.103155	564.07	0.103149	633.66	0.103407	674.29	0.103351	735.02	0.103377	794.04	0.10339	841.7	0.103392		659.31	0.102917	1190.42	0.103128	1450.5	0.103162	1455.58	0.103155	1435.93	0.103149	1366.34	0.103407	1325.71	0.103351	1264.98	0.103377	1205.96	0.10339	1158.3	0.103392
1342.23	0.103182	825.06	0.103171	595.92	0.103428	577.84	0.103419	597.66	0.103412	677.23	0.103672	722.23	0.103612	786.74	0.10364	848.91	0.103653	895.42	0.103655		657.77	0.103182	1174.94	0.103171	1404.08	0.103428	1422.16	0.103419	1402.34	0.103412	1322.77	0.103672	1277.77	0.103612	1213.26	0.10364	1151.09	0.103653	1104.58	0.103655
1342.663	0.103452	913.73	0.103438	652.22	0.103697	618.96	0.103687	597.66	0.103412	726.46	0.103941	775.37	0.103876	842.27	0.103906	906.52	0.10392	949.37	0.103922		657.337	0.103452	1086.27	0.103438	1347.78	0.103697	1381.04	0.103687	1402.34	0.103412	1273.54	0.103941	1224.63	0.103876	1157.73	0.103906	1093.48	0.10392	1050.63	0.103922
1341.865	0.103725	989.7	0.103709	697.01	0.103881	665.51	0.103958	637.57	0.103679	763.49	0.104125	832.41	0.104143	901.04	0.104174	964.88	0.104189	1001.612	0.104191		658.135	0.103725	1010.3	0.103709	1302.99	0.103881	1334.49	0.103958	1362.43	0.103679	1236.51	0.104125	1167.59	0.104143	1098.96	0.104174	1035.12	0.104189	998.388	0.104191
1341.061	0.103897	1050.571	0.103984	718.41	0.103969	715.9	0.104232	682.53	0.103949	781.32	0.104213	892.65	0.104415	962.82	0.104446	1022.047	0.104461	1051.68	0.104463		658.939	0.103897	949.429	0.103984	1281.59	0.103969	1284.1	0.104232	1317.47	0.103949	1218.68	0.104213	1107.35	0.104415	1037.18	0.104446	977.953	0.104461	948.32	0.104463
1340.353	0.104002	1097.841	0.104262	795.2	0.104245	770.13	0.10451	731.32	0.104222	842.42	0.104488	955.92	0.10469	1026.423	0.104721	1076.543	0.104737	1100.078	0.104739		659.647	0.104002	902.159	0.104262	1204.8	0.104245	1229.87	0.10451	1268.68	0.104222	1157.58	0.104488	1044.08	0.10469	973.577	0.104721	923.457	0.104737	899.922	0.104739
1338.743	0.104283	1134.849	0.104544	879.25	0.104525	828.02	0.104792	784.89	0.104498	910.73	0.104767	1018.962	0.104966	1082.309	0.105	1122.936	0.105016	1142.15	0.105017		661.257	0.104283	865.151	0.104544	1120.75	0.104525	1171.98	0.104792	1215.11	0.104498	1089.27	0.104767	981.038	0.104966	917.691	0.105	877.064	0.105016	857.85	0.105017
1337.229	0.104568	1161.973	0.104791	961.74	0.104809	855.37	0.104894	848.24	0.104778	980.31	0.105049	1059.567	0.105198	1227.523	0.106225	1192.185	0.105656	1239.5	0.1061		662.771	0.104568	838.027	0.104791	1038.26	0.104809	1144.63	0.104894	1151.76	0.104778	1019.69	0.105049	940.433	0.105198	772.477	0.106225	807.815	0.105656	760.5	0.1061
1335.431	0.104857	1166.43	0.10483	1034.809	0.105096	904.89	0.105077	922.87	0.105062	1012.616	0.105223	1160.812	0.105797	1230.162	0.106246	1227.079	0.105986	1241.582	0.106124		664.569	0.104857	833.57	0.10483	965.191	0.105096	1095.11	0.105077	1077.13	0.105062	987.384	0.105223	839.188	0.105797	769.838	0.106246	772.921	0.105986	758.418	0.106124
1332.208	0.10515	1194.873	0.10512	1158.074	0.105865	920.5	0.10515	1017.803	0.10552	1162.546	0.106112	1238.635	0.106541	1230.966	0.106258	1290.26	0.107083	1243.407	0.106164		667.792	0.10515	805.127	0.10512	841.926	0.105865	1079.5	0.10515	982.197	0.10552	837.454	0.106112	761.365	0.106541	769.034	0.106258	709.74	0.107083	756.593	0.106164
