x position	heat_tr	normalised		position	dT/dy	normalised dT/dy		position	temp	normalised		x	Stanton	Plotted stanton	normalised		x	temp	normalised
0.032995	76.765	0.045784749		0.0479649	-557.518	-0.002220276		0.032995	1573.94	1.015451713		0.03	-8.66014E-05	8.66014E-05	0.008958457		0.0269943	301.106	0.001048818
0.0339951	78.5336	0.046839591		0.0489658	695.315	0.002769043		0.0339951	1571.39	1.013806541		0.031	-8.95814E-05	8.95814E-05	0.009266722		0.0279944	301.128	0.001468345
0.0349952	80.2154	0.047842662		0.0499667	1900.92	0.00757028		0.0349952	1568.98	1.012251692		0.032	-0.0000933	0.0000933	0.009651391		0.0289945	301.154	0.00196415
0.0359953	81.7941	0.048784242		0.0509676	2868.8	0.011424794		0.0359953	1566.71	1.010787166		0.033	-9.80382E-05	9.80382E-05	0.010141533		0.0299946	301.186	0.002574371
0.0369954	83.3429	0.049707989		0.0519684	3507.7	0.013969168		0.0369954	1564.55	1.009393609		0.034	-0.000104091	0.000104091	0.010767663		0.0309948	301.225	0.003318078
0.0379955	84.7621	0.050554439		0.0529693	3969.61	0.015808692		0.0379955	1562.55	1.008103278		0.035	-0.000111717	0.000111717	0.011556533		0.0319949	301.273	0.00423341
0.0389956	85.9668	0.051272955		0.0539701	4621.81	0.018406033		0.0389956	1560.73	1.006929077		0.036	-0.000121204	0.000121204	0.012537912		0.032995	301.334	0.005396644
0.0399957	87.1692	0.051990099		0.054971	5474.19	0.021800576		0.0399957	1558.96	1.005787134		0.037	-0.000132589	0.000132589	0.01371563		0.0339951	301.411	0.006864989
0.0409958	88.4021	0.052725435		0.0559718	6149	0.024487959		0.0409958	1557.26	1.004690353		0.038	-0.000145145	0.000145145	0.015014482		0.0349952	301.506	0.008676583
0.0419959	89.5142	0.053388722		0.0569726	6279.55	0.025007865		0.0419959	1555.69	1.003677443		0.039	-0.000158074	0.000158074	0.016351919		0.0359953	301.623	0.010907704
0.042996	90.5838	0.05402666		0.0579734	6218.04	0.024762906		0.042996	1554.18	1.002703243		0.04	-0.000171072	0.000171072	0.017696493		0.0369954	301.762	0.013558352
0.0439961	91.6874	0.054684878		0.0589742	6559.38	0.026122269		0.0439961	1552.72	1.001761302		0.041	-0.000183965	0.000183965	0.019030206		0.0379955	301.914	0.016456903
0.0449962	92.827	0.055364566		0.059975	7053.57	0.028090345		0.0449962	1551.31	1.000851618		0.042	-0.000196734	0.000196734	0.020351091		0.0389956	302.067	0.019374523
0.0459963	93.9184	0.056015507		0.059975	7053.57	0.028090345		0.0459963	1549.99	1		0.043	-0.000209528	0.000209528	0.021674563		0.0399957	302.217	0.022234935
0.0469964	94.9277	0.056617481		0.0609758	6788.55	0.027034922		0.0469964	1548.77	0.999212898		0.044	-0.000222443	0.000222443	0.023010551		0.0409958	302.363	0.025019069
0.0479965	95.891	0.05719202		0.0619766	6187	0.024639291		0.0479965	1547.62	0.998470958		0.045	-0.00023539	0.00023539	0.02434985		0.0419959	302.504	0.027707857
0.0489966	96.8099	0.057740077		0.0629773	6166.51	0.024557691		0.0489966	1546.53	0.997767728		0.046	-0.000248131	0.000248131	0.025667839		0.042996	302.642	0.030339436
0.0499967	97.6949	0.058267915		0.0639781	6256.87	0.024917544		0.0499967	1545.5	0.997103207		0.047	-0.000260398	0.000260398	0.026936795		0.0439961	302.778	0.032932876
0.0509968	98.4717	0.05873122		0.0649788	5564.77	0.022161304		0.0509968	1544.56	0.996496752		0.048	-0.000272051	0.000272051	0.028142236		0.0449962	302.91	0.035450038
0.0519969	99.092	0.059101184		0.0659795	4874.05	0.019410561		0.0519969	1543.7	0.995941909		0.049	-0.000283144	0.000283144	0.029289749		0.0459963	303.038	0.037890923
0.0529969	99.6009	0.059404706		0.0669803	5251.57	0.020914007		0.0529969	1542.91	0.995432229		0.05	-0.000293712	0.000293712	0.030382952		0.0469964	303.16	0.040217391
0.053997	99.9939	0.059639102		0.067981	4494.2	0.017897835		0.053997	1542.18	0.994961258		0.051	-0.000303817	0.000303817	0.031428261		0.0479965	303.273	0.042372235
0.0549971	100.309	0.059827036		0.0689817	3214.24	0.012800484		0.0549971	1541.48	0.994509642		0.052	-0.00031381	0.00031381	0.032461984		0.0489966	303.379	0.044393593
0.0559972	100.605	0.060003579		0.0699824	2622.32	0.010443205		0.0559972	1540.81	0.994077381		0.053	-0.000323948	0.000323948	0.033510707		0.0499967	303.478	0.046281465
0.0569973	100.776	0.060105568		0.0709831	1567.29	0.006241622		0.0569973	1540.18	0.993670927		0.054	-0.000334201	0.000334201	0.034571325		0.0509968	303.572	0.048073989
0.0579974	100.848	0.06014851		0.0719837	422.036	0.001680729		0.0579974	1539.55	0.993264473		0.055	-0.000344534	0.000344534	0.035640219		0.0519969	303.665	0.049847445
0.0589974	101.493	0.060533206		0.0729844	-679.685	-0.002706798		0.0589974	1538.92	0.992858018		0.056	-0.000354975	0.000354975	0.036720286		0.0529969	303.758	0.0516209
0.0599975	102.783	0.061302597		0.0739851	-1811.2	-0.007212976		0.0599975	1538.32	0.992470919		0.057	-0.000365562	0.000365562	0.037815455		0.053997	303.85	0.053375286
0.0599975	102.783	0.061302597		0.0749857	-2997.15	-0.011935939		0.0599975	1538.32	0.992470919		0.058	-0.000376278	0.000376278	0.038923968		0.0549971	303.942	0.055129672
0.0609976	104.248	0.062176364		0.0759864	-4250.73	-0.016928233		0.0609976	1537.74	0.992096723		0.059	-0.000387001	0.000387001	0.040033206		0.0559972	304.034	0.056884058
0.0619977	105.728	0.063059076		0.076987	-5591.56	-0.022267994		0.0619977	1537.15	0.991716076		0.06	-0.000397477	0.000397477	0.041116893		0.0569973	304.125	0.058619375
0.0629977	107.298	0.063995467		0.0779876	-7061.82	-0.0281232		0.0629977	1536.58	0.991348331		0.061	-0.00040744	0.00040744	0.042147512		0.0579974	304.216	0.060354691
0.0639978	108.919	0.064962276		0.0789883	-8605.05	-0.034269005		0.0639978	1536.03	0.99099349		0.062	-0.000416776	0.000416776	0.043113272		0.0589974	304.306	0.062070938
0.0649979	110.648	0.065993499		0.0799889	-11706	-0.04661832		0.0649979	1535.48	0.990638649		0.063	-0.000425557	0.000425557	0.04402162		0.0599975	304.392	0.063710908
0.065998	112.945	0.067363493		0.0809895	-13362.7	-0.053216011		0.065998	1534.9	0.990264453		0.064	-0.000433932	0.000433932	0.044887969		0.0609976	304.474	0.0652746
0.066998	114.209	0.068117377		0.0819901	-13562.2	-0.054010506		0.066998	1534.35	0.989909612		0.065	-0.000442188	0.000442188	0.045742009		0.0619977	304.55	0.066723875
0.0679981	115.291	0.068762711		0.0829907	-15424.5	-0.061426984		0.0679981	1533.86	0.989593481		0.066	-0.000449217	0.000449217	0.046469122		0.0629977	304.621	0.068077803
0.0689982	117.366	0.070000298		0.0839913	-17432.9	-0.069425296		0.0689982	1533.37	0.98927735		0.067	-0.000457971	0.000457971	0.047374677		0.0639978	304.688	0.069355454
0.0699982	119.403	0.071215221		0.0849919	-19510.5	-0.077699191		0.0699982	1532.87	0.988954767		0.068	-0.000468217	0.000468217	0.048434571		0.0649979	304.752	0.070575896
0.0709983	121.373	0.072390183		0.0859925	-21653.9	-0.086235131		0.0709983	1532.36	0.988625733		0.069	-0.000476585	0.000476585	0.049300197		0.065998	304.812	0.071720061
0.0719984	123.285	0.073530552		0.086993	-23856.5	-0.09500683		0.0719984	1531.84	0.988290247		0.07	-0.000484578	0.000484578	0.05012703		0.066998	304.906	0.073512586
0.0729984	125.362	0.074769332		0.0879936	-26114.9	-0.104000749		0.0729984	1531.32	0.987954761		0.071	-0.000492744	0.000492744	0.05097176		0.0679981	304.976	0.074847445
0.0739985	127.63	0.076122029		0.0889942	-28427.4	-0.113210117		0.0739985	1530.8	0.987619275		0.072	-0.000501291	0.000501291	0.051855902		0.0689982	305.035	0.07597254
0.0749986	129.824	0.077430591		0.0899947	-30790.8	-0.122622191		0.0749986	1530.26	0.987270886		0.073	-0.000510148	0.000510148	0.052772111		0.0699982	305.09	0.077021358
0.0759986	132.046	0.078755852		0.0909953	-33202.5	-0.132226616		0.0759986	1529.73	0.986928948		0.074	-0.000519091	0.000519091	0.053697217		0.0709983	305.146	0.078089245
0.0769987	134.54	0.080243342		0.0919958	-35665.6	-0.142035738		0.0769987	1529.19	0.986580559		0.075	-0.000527898	0.000527898	0.054608255		0.0719984	305.202	0.079157132
0.0779988	137.013	0.081718307		0.0929964	-38189.9	-0.152088585		0.0779988	1528.57	0.986180556		0.076	-0.000536468	0.000536468	0.055494776		0.0729984	305.259	0.080244088
0.0789988	139.477	0.083187904		0.0939969	-40783.8	-0.162418609		0.0789988	1527.95	0.985780553		0.077	-0.000544845	0.000544845	0.056361332		0.0739985	305.315	0.081311976
