"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1
718.1	0.110086	577.698	0.109518	648.312	0.109375	604.072	0.112456	621.986	0.109969	584.778	0.112332	602.297	0.11081	587.259	0.112865	612.407	0.111474	616.156	0.112693
721.794	0.1103	580.01	0.109674	630.507	0.109931	603.567	0.1125	598.531	0.111647	580.595	0.113632	588.229	0.111973	580.963	0.114037	602.547	0.1125	607.193	0.114008
731.635	0.110791	601.557	0.111027	599.101	0.110938	602.716	0.112583	596.273	0.111824	579.575	0.114675	582.141	0.112844	577.887	0.114584	595.616	0.113446	602.199	0.114773
751.824	0.111791	614.822	0.111882	573.2	0.112435	579.917	0.114931	595.545	0.112021	584.149	0.116507	575.681	0.113779	577.033	0.114935	591.104	0.114062	595.202	0.11606
763.113	0.112305	635.024	0.113239	572.241	0.1125	578.229	0.116948	589.799	0.113346	585.774	0.11704	573.599	0.11461	575.079	0.116637	584.244	0.115369	591.828	0.116667
797.365	0.113898	648.302	0.114113	572.915	0.112598	577.821	0.117252	589.79	0.114013	589.579	0.11889	573.073	0.114863	578.15	0.118013	582.859	0.115625	588.707	0.117459
811.074	0.114518	656.099	0.114587	584.23	0.114884	580.637	0.117544	588.991	0.115194	590.621	0.119413	574.008	0.115495	580.843	0.118878	582.111	0.115851	584.054	0.11875
815.507	0.114725	686.722	0.116281	597.186	0.115829	597.223	0.11912	586.614	0.116741	591.004	0.119643	576.239	0.116758	588.006	0.120442	578.491	0.117188	583.291	0.119721
844.933	0.116057	694.915	0.116734	604.229	0.116281	619.669	0.120663	584.788	0.11742	595.38	0.121979	580.401	0.11767	590.485	0.120995	578.381	0.117953	582.796	0.120411
861.465	0.116852	696.41	0.116811	612.772	0.116806	625.84	0.121092	584.451	0.117765	605.733	0.1238	584.434	0.118544	592.146	0.121377	578.812	0.11875	589.316	0.123005
890.937	0.118331	698.196	0.116899	635.169	0.118161	638.881	0.12199	589.052	0.119495	610.09	0.12454	586.614	0.119019	599.096	0.123047	581.957	0.120055	589.51	0.123074
910.077	0.119435	727.794	0.118327	655.889	0.119418	660.275	0.123444	590.672	0.120314	615.036	0.125036	592.539	0.120631	604.857	0.124917	583.279	0.120465	595.958	0.12465
941.423	0.121371	765.709	0.120269	662.844	0.119823	676.504	0.124572	592.098	0.120553	641.577	0.127889	597.549	0.121875	605.126	0.125	589.727	0.122129	602.377	0.126339
955.435	0.122341	770.307	0.120507	676.999	0.120663	697.447	0.126086	615.693	0.12299	647.896	0.12851	599.335	0.122589	605.532	0.125139	591.805	0.122638	608.863	0.12818
989.728	0.125202	780.597	0.121079	698.308	0.121921	711.519	0.127127	625.233	0.123863	679.914	0.131903	602.825	0.123832	613.212	0.127801	599.786	0.124576	614.274	0.13005
992.202	0.125478	818.172	0.123122	720.076	0.123285	736.191	0.12915	635.602	0.124699	684.871	0.132445	606.478	0.125	616.995	0.128778	602.359	0.125205	617.425	0.131216
1020.47	0.128406	833.33	0.124088	744.974	0.12479	736.191	0.12915	660.982	0.126786	706.839	0.135077	618.64	0.127401	632.058	0.131863	604.797	0.126011	621.564	0.132642
1022.08	0.128625	853.76	0.125366	762.799	0.12601	736.355	0.129163	664.774	0.127097	717.76	0.136396	620.504	0.127804	633.694	0.132149	611.434	0.128196	628.002	0.134498
1039.78	0.130874	886.662	0.127998	793.013	0.128137	736.508	0.129177	701.712	0.130429	737.682	0.138897	623.205	0.128214	637.916	0.132743	612.917	0.128703	636.736	0.136737
1040.42	0.130977	890.872	0.128322	816.279	0.130032	736.896	0.129213	706.258	0.130837	749.714	0.140375	637.378	0.130208	655.737	0.135361	620.153	0.13104	641.604	0.137732
1056.79	0.133261	900.621	0.129227	833.789	0.131632	786.552	0.133781	712.289	0.131459	778.468	0.144084	647.736	0.131478	663.293	0.13643	626.401	0.132457	645.839	0.138585
1057.08	0.133328	913.282	0.130375	838.599	0.132096	803.462	0.135526	731.326	0.133437	784.314	0.144861	656.043	0.132523	684.966	0.139404	632.912	0.133907	659.689	0.141006
1060.66	0.133982	928.201	0.131741	861.359	0.134294	811.388	0.136333	740.642	0.134493	815.175	0.14927	671.744	0.134419	690.507	0.140191	641.217	0.135589	666.963	0.142385
1080.86	0.137585	935.965	0.132447	887.378	0.137111	826.88	0.138057	762.128	0.136843	815.667	0.149347	672.915	0.134559	715.035	0.143761	654.258	0.13772	676.72	0.144092
1084.42	0.138272	951.666	0.13416	897.176	0.138159	840.136	0.1395	797.018	0.140934	818.322	0.149789	688.36	0.136546	715.534	0.143837	669.37	0.140123	679.102	0.144494
